Position;Microchannel;Final frame for analysis;final state
xy40;3;667;alive
xy40;17;667;alive
xy40;6;614;alive
xy40;8;667;alive
xy40;12;184;alive
xy40;1;148;alive
xy40;14;87;alive
xy41;4;164;alive
xy41;17;164;alive
xy41;2;0;alive
xy41;16;164;alive
xy41;6;164;alive
xy41;15;164;alive
xy41;5;164;alive
xy41;12;164;alive
xy41;11;164;alive
xy20;12;667;alive
xy20;4;667;alive
xy20;1;667;alive
xy42;13;667;alive
xy42;4;667;alive
xy42;17;667;alive
xy42;15;667;alive
xy42;8;667;alive
xy18;12;667;alive
xy18;3;667;alive
xy18;11;667;alive
xy18;7;667;alive
xy18;8;28;alive
xy18;18;667;alive
xy19;9;667;alive
xy19;1;667;alive
xy19;12;198;alive
xy10;3;328;alive
xy10;8;160;alive
xy10;15;70;alive
xy10;1;667;alive
xy32;12;667;alive
xy32;3;667;alive
xy32;4;409;alive
xy32;16;346;alive
xy32;11;213;alive
xy32;1;667;alive
xy11;11;243;alive
xy11;2;240;alive
xy11;5;128;alive
xy11;10;521;alive
xy33;15;638;alive
xy33;3;436;alive
xy12;12;667;alive
xy12;15;667;alive
xy12;0;79;alive
xy12;2;667;alive
xy12;11;221;alive
xy34;4;667;alive
xy34;8;667;alive
xy34;18;667;alive
xy34;0;667;alive
xy13;3;667;alive
xy13;9;667;alive
xy13;16;667;alive
xy13;7;667;alive
xy13;17;179;alive
xy35;11;667;alive
xy35;7;377;alive
xy35;16;195;alive
xy35;14;667;alive
xy35;17;250;alive
xy35;18;667;alive
xy14;17;333;alive
xy14;1;333;alive
xy14;4;333;alive
xy14;0;117;alive
xy14;9;0;alive
xy14;7;333;alive
xy14;10;125;alive
xy14;3;286;alive
xy14;13;333;alive
xy36;13;667;alive
xy36;5;149;alive
xy36;9;667;alive
xy36;8;667;alive
xy36;16;187;alive
xy15;9;86;alive
xy15;1;667;alive
xy15;2;667;alive
xy15;10;81;alive
xy15;0;613;alive
xy37;6;667;alive
xy37;13;469;alive
xy37;7;218;alive
xy37;3;49;alive
xy37;1;667;alive
xy37;0;667;alive
xy16;5;667;alive
xy16;7;667;alive
xy16;17;265;alive
xy38;3;588;alive
xy38;11;116;alive
xy38;2;667;alive
xy38;0;667;alive
xy17;11;667;alive
xy17;17;667;alive
xy17;13;407;alive
xy17;2;667;alive
xy39;2;285;alive
xy39;15;667;alive
xy39;6;326;alive
xy30;12;667;alive
xy30;11;667;alive
xy30;14;667;alive
xy30;3;128;alive
xy30;0;667;alive
xy31;11;77;alive
xy31;4;667;alive
xy31;15;667;alive
xy31;16;198;alive
xy07;13;667;alive
xy07;17;667;alive
xy07;7;667;alive
xy07;8;667;alive
xy07;1;501;alive
xy07;10;512;alive
xy07;3;161;alive
xy29;5;667;alive
xy29;6;667;alive
xy29;7;444;alive
xy08;0;53;alive
xy08;6;667;alive
xy08;12;667;alive
xy08;17;667;alive
xy09;17;434;alive
xy09;8;603;alive
xy09;3;603;alive
xy21;13;667;alive
xy21;6;667;alive
xy21;11;667;alive
xy21;4;667;alive
xy21;10;63;alive
xy21;2;667;alive
xy43;12;667;alive
xy43;11;667;alive
xy43;17;58;alive
xy43;16;578;alive
xy00;4;667;alive
xy00;9;148;alive
xy00;17;667;alive
xy00;16;667;alive
xy00;18;667;alive
xy00;2;667;alive
xy22;13;667;alive
xy22;6;667;alive
xy22;2;267;alive
xy22;14;667;alive
xy22;0;667;alive
xy44;17;667;alive
xy44;13;189;alive
xy44;0;667;alive
xy44;4;39;alive
xy01;14;59;alive
xy01;4;667;alive
xy01;16;127;alive
xy01;9;667;alive
xy01;19;438;alive
xy01;1;142;alive
xy01;2;667;alive
xy23;13;667;alive
xy23;10;667;alive
xy23;8;667;alive
xy23;11;123;alive
xy23;14;667;alive
xy45;0;23;alive
xy45;11;667;alive
xy45;4;667;alive
xy45;1;581;alive
xy45;14;667;alive
xy45;10;264;alive
xy02;12;106;alive
xy02;11;667;alive
xy02;4;667;alive
xy02;10;96;alive
xy02;5;166;alive
xy24;9;667;alive
xy24;7;667;alive
xy24;1;667;alive
xy46;6;667;alive
xy46;4;667;alive
xy46;7;41;alive
xy46;18;667;alive
xy46;0;667;alive
xy03;3;667;alive
xy03;1;84;alive
xy03;7;644;alive
xy03;8;302;alive
xy25;17;105;alive
xy25;3;252;alive
xy25;14;667;alive
xy25;0;124;alive
xy25;1;667;alive
xy47;6;667;alive
xy47;0;667;alive
xy04;8;81;alive
xy04;12;667;alive
xy04;5;381;alive
xy04;9;392;alive
xy04;2;667;alive
xy26;3;471;alive
xy26;12;53;alive
xy26;5;211;alive
xy26;7;667;alive
xy26;15;667;alive
xy26;4;42;alive
xy26;2;667;alive
xy05;13;667;alive
xy05;12;667;alive
xy05;17;667;alive
xy27;11;667;alive
xy27;17;667;alive
xy27;14;667;alive
xy27;1;366;alive
xy27;0;667;alive
xy27;4;604;alive
xy06;11;667;alive
xy06;16;96;alive
xy06;4;667;alive
xy06;10;667;alive
xy06;7;667;alive
xy28;11;667;alive
xy28;17;667;alive
xy28;7;667;alive
xy28;0;667;alive
xy28;1;61;alive
xy40;2;110;dead
xy40;7;45;dead
xy40;4;0;dead
xy40;13;44;dead
xy40;5;518;dead
xy40;16;56;dead
xy40;9;0;dead
xy40;10;0;dead
xy40;0;21;dead
xy40;15;444;dead
xy40;11;317;dead
xy41;10;0;dead
xy41;13;114;dead
xy41;14;0;dead
xy41;0;36;dead
xy20;9;623;dead
xy20;15;466;dead
xy20;10;0;dead
xy20;8;0;dead
xy20;7;147;dead
xy20;13;515;dead
xy20;6;24;dead
xy20;2;457;dead
xy20;5;86;dead
xy20;11;202;dead
xy20;17;60;dead
xy20;14;73;dead
xy20;3;101;dead
xy20;0;400;dead
xy20;16;0;dead
xy42;3;0;dead
xy42;2;0;dead
xy42;5;74;dead
xy42;7;0;dead
xy42;10;0;dead
xy42;11;120;dead
xy42;1;0;dead
xy42;0;0;dead
xy42;16;164;dead
xy42;9;312;dead
xy42;6;217;dead
xy42;12;0;dead
xy42;14;0;dead
xy18;2;0;dead
xy18;1;46;dead
xy18;14;114;dead
xy18;6;106;dead
xy18;0;0;dead
xy18;10;180;dead
xy18;15;130;dead
xy18;4;185;dead
xy18;13;52;dead
xy18;9;220;dead
xy18;5;53;dead
xy18;17;0;dead
xy19;13;47;dead
xy19;4;184;dead
xy19;10;0;dead
xy19;8;416;dead
xy19;3;117;dead
xy19;5;70;dead
xy19;17;143;dead
xy19;0;42;dead
xy19;7;109;dead
xy19;2;25;dead
xy19;14;0;dead
xy19;18;98;dead
xy19;16;0;dead
xy19;15;0;dead
xy10;4;453;dead
xy10;6;0;dead
xy10;9;0;dead
xy10;7;20;dead
xy10;14;110;dead
xy10;17;41;dead
xy10;10;50;dead
xy10;12;199;dead
xy10;2;115;dead
xy10;18;151;dead
xy10;11;0;dead
xy10;13;0;dead
xy10;16;0;dead
xy10;0;601;dead
xy32;8;176;dead
xy32;6;0;dead
xy32;13;139;dead
xy32;2;17;dead
xy32;15;55;dead
xy32;9;53;dead
xy32;14;0;dead
xy32;5;116;dead
xy32;10;558;dead
xy32;0;0;dead
xy32;17;0;dead
xy11;4;0;dead
xy11;0;30;dead
xy11;8;74;dead
xy11;3;353;dead
xy11;16;297;dead
xy11;18;102;dead
xy11;6;28;dead
xy11;9;316;dead
xy11;7;296;dead
xy11;12;25;dead
xy11;14;279;dead
xy11;15;311;dead
xy33;7;163;dead
xy33;11;103;dead
xy33;2;0;dead
xy33;5;0;dead
xy33;8;76;dead
xy33;10;0;dead
xy33;17;86;dead
xy33;14;96;dead
xy33;1;0;dead
xy33;13;51;dead
xy33;0;0;dead
xy33;12;0;dead
xy33;9;53;dead
xy33;16;0;dead
xy33;4;248;dead
xy33;6;118;dead
xy33;18;0;dead
xy12;3;0;dead
xy12;7;199;dead
xy12;5;0;dead
xy12;9;228;dead
xy12;6;0;dead
xy12;16;73;dead
xy12;10;24;dead
xy12;17;94;dead
xy12;14;217;dead
xy12;13;182;dead
xy12;18;0;dead
xy34;7;19;dead
xy34;9;0;dead
xy34;10;0;dead
xy34;14;48;dead
xy34;6;104;dead
xy34;5;100;dead
xy34;12;95;dead
xy34;3;169;dead
xy34;2;43;dead
xy34;13;0;dead
xy34;11;55;dead
xy34;16;0;dead
xy34;15;0;dead
xy34;17;0;dead
xy34;1;218;dead
xy13;2;0;dead
xy13;10;222;dead
xy13;1;234;dead
xy13;11;85;dead
xy13;5;52;dead
xy13;0;0;dead
xy13;15;299;dead
xy13;4;463;dead
xy13;12;0;dead
xy13;6;59;dead
xy13;14;0;dead
xy13;13;177;dead
xy13;18;0;dead
xy13;8;94;dead
xy35;0;458;dead
xy35;4;0;dead
xy35;6;0;dead
xy35;9;0;dead
xy35;8;0;dead
xy35;10;496;dead
xy35;12;201;dead
xy35;1;0;dead
xy35;5;539;dead
xy35;3;88;dead
xy35;2;58;dead
xy35;13;0;dead
xy35;15;0;dead
xy14;6;133;dead
xy14;16;109;dead
xy14;2;119;dead
xy14;12;139;dead
xy14;15;49;dead
xy14;5;24;dead
xy14;11;132;dead
xy14;14;0;dead
xy14;18;0;dead
xy14;8;15;dead
xy36;2;0;dead
xy36;4;0;dead
xy36;3;59;dead
xy36;1;290;dead
xy36;10;0;dead
xy36;7;453;dead
xy36;11;53;dead
xy36;14;81;dead
xy36;6;37;dead
xy36;0;324;dead
xy36;12;73;dead
xy36;15;0;dead
xy36;17;0;dead
xy15;12;86;dead
xy15;8;36;dead
xy15;16;57;dead
xy15;11;62;dead
xy15;7;165;dead
xy15;18;379;dead
xy15;17;70;dead
xy15;13;289;dead
xy15;14;0;dead
xy15;5;105;dead
xy15;6;103;dead
xy15;4;10;dead
xy15;3;562;dead
xy15;15;116;dead
xy37;15;60;dead
xy37;17;155;dead
xy37;16;161;dead
xy37;4;110;dead
xy37;12;21;dead
xy37;8;230;dead
xy37;10;0;dead
xy37;2;549;dead
xy37;14;80;dead
xy37;11;56;dead
xy37;9;594;dead
xy16;10;62;dead
xy16;4;0;dead
xy16;6;98;dead
xy16;8;0;dead
xy16;3;93;dead
xy16;1;0;dead
xy16;18;70;dead
xy16;2;444;dead
xy16;0;0;dead
xy16;12;494;dead
xy16;15;28;dead
xy16;9;72;dead
xy16;13;0;dead
xy16;11;105;dead
xy38;8;68;dead
xy38;5;0;dead
xy38;10;281;dead
xy38;4;46;dead
xy38;14;159;dead
xy38;16;67;dead
xy38;13;85;dead
xy38;6;118;dead
xy38;15;0;dead
xy38;1;0;dead
xy38;17;0;dead
xy17;3;0;dead
xy17;15;40;dead
xy17;9;601;dead
xy17;7;47;dead
xy17;12;51;dead
xy17;1;0;dead
xy17;8;221;dead
xy17;0;0;dead
xy17;6;83;dead
xy17;14;202;dead
xy17;16;92;dead
xy17;4;53;dead
xy17;10;68;dead
xy17;5;393;dead
xy39;13;166;dead
xy39;5;0;dead
xy39;14;54;dead
xy39;4;0;dead
xy39;7;0;dead
xy39;10;0;dead
xy39;8;0;dead
xy39;1;98;dead
xy39;11;138;dead
xy39;9;435;dead
xy39;3;47;dead
xy39;12;0;dead
xy39;0;62;dead
xy39;16;0;dead
xy39;17;340;dead
xy30;6;49;dead
xy30;9;0;dead
xy30;10;0;dead
xy30;8;0;dead
xy30;5;46;dead
xy30;7;95;dead
xy30;1;0;dead
xy30;13;52;dead
xy30;18;92;dead
xy30;17;196;dead
xy30;16;0;dead
xy30;15;0;dead
xy31;3;0;dead
xy31;7;0;dead
xy31;8;0;dead
xy31;2;93;dead
xy31;6;97;dead
xy31;0;124;dead
xy31;12;249;dead
xy31;5;317;dead
xy31;17;101;dead
xy31;14;0;dead
xy31;13;0;dead
xy31;1;121;dead
xy31;10;76;dead
xy07;15;221;dead
xy07;2;97;dead
xy07;9;0;dead
xy07;5;71;dead
xy07;11;27;dead
xy07;0;150;dead
xy07;6;41;dead
xy07;12;51;dead
xy07;4;21;dead
xy07;16;81;dead
xy07;14;0;dead
xy07;18;90;dead
xy29;10;62;dead
xy29;4;0;dead
xy29;16;162;dead
xy29;0;63;dead
xy29;9;69;dead
xy29;15;38;dead
xy29;8;113;dead
xy29;1;91;dead
xy29;12;0;dead
xy29;11;155;dead
xy29;14;0;dead
xy29;13;0;dead
xy29;17;47;dead
xy29;2;77;dead
xy08;10;121;dead
xy08;16;72;dead
xy08;5;0;dead
xy08;7;25;dead
xy08;4;0;dead
xy08;2;41;dead
xy08;9;0;dead
xy08;11;91;dead
xy08;14;491;dead
xy08;13;186;dead
xy08;18;297;dead
xy08;8;32;dead
xy08;15;513;dead
xy08;1;469;dead
xy08;3;62;dead
xy09;0;292;dead
xy09;4;0;dead
xy09;14;109;dead
xy09;16;41;dead
xy09;1;0;dead
xy09;9;95;dead
xy09;7;306;dead
xy09;10;119;dead
xy09;2;199;dead
xy09;18;121;dead
xy09;13;0;dead
xy09;11;81;dead
xy09;15;39;dead
xy21;3;0;dead
xy21;1;115;dead
xy21;5;0;dead
xy21;14;36;dead
xy21;15;496;dead
xy21;12;29;dead
xy21;17;573;dead
xy21;16;0;dead
xy21;0;179;dead
xy21;18;62;dead
xy43;0;116;dead
xy43;1;122;dead
xy43;2;0;dead
xy43;5;76;dead
xy43;3;119;dead
xy43;6;0;dead
xy43;9;0;dead
xy43;10;0;dead
xy43;13;167;dead
xy43;8;35;dead
xy43;14;0;dead
xy43;15;58;dead
xy00;5;0;dead
xy00;10;288;dead
xy00;12;463;dead
xy00;0;118;dead
xy00;1;468;dead
xy00;6;89;dead
xy00;7;88;dead
xy00;8;139;dead
xy00;3;81;dead
xy00;11;0;dead
xy00;14;0;dead
xy00;13;34;dead
xy22;3;585;dead
xy22;4;0;dead
xy22;7;33;dead
xy22;9;324;dead
xy22;10;0;dead
xy22;8;0;dead
xy22;15;452;dead
xy22;18;22;dead
xy22;1;0;dead
xy22;5;126;dead
xy22;12;66;dead
xy22;11;0;dead
xy22;17;372;dead
xy44;5;0;dead
xy44;7;0;dead
xy44;9;0;dead
xy44;18;309;dead
xy44;8;49;dead
xy44;6;80;dead
xy44;2;416;dead
xy44;10;40;dead
xy44;12;0;dead
xy44;16;55;dead
xy44;3;66;dead
xy44;11;269;dead
xy44;15;0;dead
xy01;6;107;dead
xy01;17;409;dead
xy01;5;43;dead
xy01;11;38;dead
xy01;3;57;dead
xy01;18;386;dead
xy01;8;46;dead
xy01;0;177;dead
xy23;5;0;dead
xy23;4;0;dead
xy23;7;36;dead
xy23;9;34;dead
xy23;17;212;dead
xy23;1;0;dead
xy23;0;0;dead
xy23;6;45;dead
xy23;3;99;dead
xy23;18;92;dead
xy23;16;0;dead
xy23;15;0;dead
xy23;2;231;dead
xy45;3;440;dead
xy45;2;0;dead
xy45;13;148;dead
xy45;9;0;dead
xy45;5;104;dead
xy45;6;167;dead
xy45;16;236;dead
xy45;7;132;dead
xy45;18;48;dead
xy45;12;0;dead
xy45;8;64;dead
xy45;17;272;dead
xy45;15;0;dead
xy02;3;0;dead
xy02;7;98;dead
xy02;0;67;dead
xy02;15;80;dead
xy02;14;117;dead
xy02;8;70;dead
xy02;13;119;dead
xy02;6;23;dead
xy02;9;170;dead
xy02;16;0;dead
xy02;18;0;dead
xy02;1;75;dead
xy02;17;0;dead
xy24;3;0;dead
xy24;14;148;dead
xy24;8;31;dead
xy24;6;0;dead
xy24;12;517;dead
xy24;4;26;dead
xy24;17;73;dead
xy24;16;52;dead
xy24;0;80;dead
xy24;2;42;dead
xy24;13;129;dead
xy24;15;0;dead
xy24;18;0;dead
xy46;5;0;dead
xy46;11;152;dead
xy46;9;0;dead
xy46;13;40;dead
xy46;16;204;dead
xy46;1;0;dead
xy46;15;75;dead
xy46;10;109;dead
xy46;3;134;dead
xy46;12;81;dead
xy46;2;268;dead
xy46;14;282;dead
xy46;17;0;dead
xy03;5;33;dead
xy03;12;44;dead
xy03;0;103;dead
xy03;10;96;dead
xy03;14;276;dead
xy03;4;35;dead
xy03;15;27;dead
xy03;2;76;dead
xy03;16;257;dead
xy03;6;312;dead
xy03;9;24;dead
xy03;13;0;dead
xy03;17;0;dead
xy25;18;96;dead
xy25;4;27;dead
xy25;5;0;dead
xy25;2;54;dead
xy25;10;260;dead
xy25;7;128;dead
xy25;9;160;dead
xy25;13;149;dead
xy25;12;98;dead
xy25;11;77;dead
xy25;6;37;dead
xy25;15;146;dead
xy25;8;189;dead
xy47;5;0;dead
xy47;4;0;dead
xy47;7;49;dead
xy47;8;360;dead
xy47;1;37;dead
xy47;2;48;dead
xy47;13;270;dead
xy47;3;53;dead
xy47;12;0;dead
xy47;16;58;dead
xy47;17;129;dead
xy47;10;134;dead
xy47;11;0;dead
xy47;14;0;dead
xy47;15;52;dead
xy47;9;29;dead
xy04;11;20;dead
xy04;7;0;dead
xy04;10;0;dead
xy04;17;428;dead
xy04;14;80;dead
xy04;3;34;dead
xy04;6;595;dead
xy04;15;301;dead
xy04;1;56;dead
xy04;13;105;dead
xy04;18;114;dead
xy04;0;188;dead
xy04;4;129;dead
xy04;16;511;dead
xy26;6;56;dead
xy26;0;59;dead
xy26;17;65;dead
xy26;9;0;dead
xy26;8;0;dead
xy26;10;231;dead
xy26;11;0;dead
xy26;13;216;dead
xy26;16;121;dead
xy26;14;0;dead
xy26;1;75;dead
xy05;6;87;dead
xy05;9;0;dead
xy05;2;330;dead
xy05;11;111;dead
xy05;3;316;dead
xy05;5;54;dead
xy05;18;610;dead
xy05;1;0;dead
xy05;0;220;dead
xy05;7;72;dead
xy05;4;42;dead
xy05;16;235;dead
xy27;2;0;dead
xy27;15;131;dead
xy27;16;44;dead
xy27;5;269;dead
xy27;6;47;dead
xy27;12;439;dead
xy27;10;282;dead
xy27;7;30;dead
xy27;13;91;dead
xy27;9;70;dead
xy27;18;0;dead
xy06;9;25;dead
xy06;3;176;dead
xy06;13;228;dead
xy06;2;193;dead
xy06;5;262;dead
xy06;18;147;dead
xy06;17;510;dead
xy06;14;294;dead
xy06;1;0;dead
xy06;12;27;dead
xy06;0;0;dead
xy06;8;18;dead
xy06;6;25;dead
xy28;2;0;dead
xy28;13;532;dead
xy28;14;227;dead
xy28;9;0;dead
xy28;8;0;dead
xy28;10;24;dead
xy28;16;215;dead
xy28;4;183;dead
xy28;5;164;dead
xy28;15;74;dead
xy28;6;212;dead
xy28;12;57;dead
xy28;3;324;dead
